#@length_unit    mm
# This polycone building mode use an interpolation scheme
# to generate inner and outer surfaces from the following list
# of points [z ; r(outer envelope)]:
#@skin_thickness 1.0
#@skin_step      5
-56.9262790698 0.0
-56.5323255814 11.621627907
-55.1534883721 19.3037209302
-53.3806976744 25.2130232558
-50.6230232558 31.3193023256
-48.653255814 35.4558139535
-46.2895348837 38.8044186047
-42.9409302326 42.5469767442
-39.9862790698 45.3046511628
-34.0769767442 50.0320930233
-31.5162790698 51.8048837209
-24.4251162791 54.3655813953
-21.4704651163 54.9565116279
-20.8795348837 54.9565116279
-18.7127906977 54.9565116279
-16.1520930233 54.3655813953
-11.0306976744 52.0018604651
-5.51534883721 48.653255814
-2.56069767442 46.2895348837
0.196976744186 43.7288372093
4.72744186047 38.8044186047
7.28813953488 35.6527906977
9.45488372093 32.5011627907
11.621627907 29.1525581395
13.5913953488 25.6069767442
14.9702325581 23.6372093023
15.7581395349 22.8493023256
17.1369767442 22.258372093
20.091627907 21.6674418605
25.2130232558 21.6674418605
34.2739534884 21.4704651163
41.5620930233 21.2734883721
47.8653488372 21.0765116279
32.1072093023 20.8795348837
55.5474418605 20.6825581395
56.3353488372 19.6976744186
56.5323255814 16.7430232558
56.7293023256 15.1672093023
56.9262790698 0.0
# end

