2  4  250.0 135.0 2700.0 snemo::se82_enriched96.1_pva0.1000_density2.258   LAPP-ITEP-7
3  7  240.0 135.0 2700.0 snemo::se82_enriched96.9_pva0.1000_density2.592   LAPP-ITEP-3
8  6  220.0 135.0 2700.0 snemo::se82_enriched96.9_pva0.1000_density2.960   LAPP-ITEP-2
9  18 240.0 135.0 2700.0 snemo::se82_enriched98_pva0.0820_density2.160     ITEP-11
14 17 250.0 135.0 2700.0 snemo::se82_enriched97.5_pva0.0810_density2.300   ITEP-10
15 16 280.0 135.0 2700.0 snemo::se82_enriched97_pva0.0801_density2.276     ITEP-9
20 15 280.0 135.0 2700.0 snemo::se82_enriched99.6_pva0.0784_density2.388   ITEP-8
21 14 300.0 135.0 2700.0 snemo::se82_enriched99.92_pva0.0771_density2.217  ITEP-7  
22 13 280.0 135.0 2700.0 snemo::se82_enriched98.31_pva0.0820_density2.104  ITEP-6
23 12 300.0 135.0 2700.0 snemo::se82_enriched98.31_pva0.0786_density2.198  ITEP-5
24 11 200.0 135.0 2695.0 snemo::se82_enriched96.92_pva0.0783_density1.949  ITEP-4
25 10 200.0 135.0 2700.0 snemo::se82_enriched96.92_pva0.0790_density1.971  ITEP-3
26 9  190.0 135.0 2700.0 snemo::se82_enriched96.92_pva0.0780_density2.081  ITEP-2
27 8  200.0 135.0 2705.0 snemo::se82_enriched96.92_pva0.0787_density2.122  ITEP-1
28 34 280.0 135.0 2700.0 snemo::se82_enriched97.0_pva0.1000_density2.137   LAPP-ITEP-21
31 5  200.0 135.0 2700.0 snemo::se82_enriched96.9_pva0.1000_density2.823   LAPP-ITEP-1
32 2  210.0 135.0 2700.0 snemo::se82_enriched96.1_pva0.1000_density2.951   LAPP-ITEP-5
33 3  220.0 135.0 2700.0 snemo::se82_enriched96.1_pva0.1000_density2.800   LAPP-ITEP-6
34 1  230.0 135.0 2700.0 snemo::se82_enriched96.1_pva0.1000_density2.811   LAPP-ITEP-4
